"File","Revision","DownRev"
"0001_add_catalog_templates_table.py","0001_catalog_templates","a9b8c7d6e5f4"
"0c01bcc6f5a6_add_delivery_zones_table.py","None","a9b8c7d6e5f4"
"3e14156ebde3_add_performance_indexes.py","None","a9b8c7d6e5f4"
"a1b2c3d4e5f6_add_16_features.py","a1b2c3d4e5f6","a9b8c7d6e5f4"
"a9b8c7d6e5f4_price_history_streaks.py","None","a9b8c7d6e5f4"
"ab8d88a83ceb_initial_nearshop_schema.py","None","a9b8c7d6e5f4"
"b7c8d9e0f1a2_merge_delivery_hours_and_ai_usage_heads.py","None","a9b8c7d6e5f4"
"c4d5e6f7a8b9_add_messaging_tables.py","None","a9b8c7d6e5f4"
"c9d8e7f6a5b4_add_udhaar_tables.py","c9d8e7f6a5b4","a9b8c7d6e5f4"
"d1e2f3g4h5i6_add_coupons_addresses.py","None","a9b8c7d6e5f4"
"e7f1c2b4a9d8_backfill_addresses_and_fcm_fields.py","None","a9b8c7d6e5f4"
"f1a2b3c4d5e6_add_shop_score.py","f1a2b3c4d5e6","a9b8c7d6e5f4"
"f2a3b4c5d6e7_add_ai_usage_logs.py","None","a9b8c7d6e5f4"
"g5h6i7j8k9l0_add_delivery_hours.py","None","a9b8c7d6e5f4"
"h1a2b3c4d5e7_add_conversation_assignment.py","None","a9b8c7d6e5f4"
"h2b3c4d5e6f8_add_saved_search_intents.py","None","a9b8c7d6e5f4"
"i3c4d5e6f7g9_add_customer_location_preferences.py","None","a9b8c7d6e5f4"
